id,paragraph,problems,question_plus,questions,answers,choices,category
generation-for-nlp-425,"상소하여 아뢰기를 , “신이 좌참 찬 송준길이 올린 차자를 보았는데 , 상복(喪服) 절차에 대하여 논한 것이 신과는 큰 차이가 있었습니다 . 장자를 위하여 3년을 입는 까닭은 위로 ‘정체(正體)’가 되기 때문이고 또 전 중(傳重: 조상의 제사나 가문의 법통을 전함)하기 때문입니다 . …(중략) … 무엇보다 중요한 것은 할아버지와 아버지의 뒤를 이은 ‘정체’이지, 꼭 첫째이기 때문에 참 최 3년 복을 입는 것은 아닙니다 .”라고 하였다 .－현종실록 －ㄱ.기 사환국으로 정권을 장악하였다 .ㄴ.인 조반정을 주도 하여 집권세력이 되었다 .ㄷ.정조 시기에 탕평 정치의 한 축을 이루었다 .ㄹ.이 이와 성혼의 문인을 중심으로 형성되었다.","{'question': '상소한 인물이 속한 붕당에 대한 설명으로 옳은 것만을 모두 고르면?', 'choices': ['ㄱ, ㄴ', 'ㄱ, ㄷ', 'ㄴ, ㄹ', 'ㄷ, ㄹ'], 'answer': 2}",,상소한 인물이 속한 붕당에 대한 설명으로 옳은 것만을 모두 고르면?,2,"['ㄱ, ㄴ', 'ㄱ, ㄷ', 'ㄴ, ㄹ', 'ㄷ, ㄹ']",한국사
generation-for-nlp-427,나는 삼한(三韓) 산천의 음덕을 입어 대업을 이루었다.(가)는/은 수덕(水德)이 순조로워 우리나라 지맥의 뿌리가 되니 대업을 만대에 전할 땅이다. 왕은 춘하 추동네 계절의 중간달에 그곳에 가 100일 이상 머물러서 나라를 안녕케 하라. － 고려사－,"{'question': '(가) 지역에 대한 설명으로 옳은 것은?', 'choices': ['이곳에 대장도감을 설치하여 재조대장경을 만들었다.', '지눌이 이곳에서 수선사 결사운동을 펼쳤다.', '망이 ․망소이가 이곳에서 봉기하였다.', '몽골이 이곳에 동녕부를 두었다.'], 'answer': 4}",,(가) 지역에 대한 설명으로 옳은 것은?,4,"['이곳에 대장도감을 설치하여 재조대장경을 만들었다.', '지눌이 이곳에서 수선사 결사운동을 펼쳤다.', '망이 ․망소이가 이곳에서 봉기하였다.', '몽골이 이곳에 동녕부를 두었다.']",한국사
generation-for-nlp-429,"선비들 수만 명이 대궐 앞에 모여 만 동묘와 서원을 다시 설립할 것을 청하니, (가)이/가 크게 노하여 한성부의 조례(皂隷)와 병졸로 하여 금 한 강 밖으로 몰아내게 하고 드디어 천여 곳의 서원을 철폐하고 그 토지를 몰수하여 관에 속하게 하였다.－대한계년사 －","{'question': '(가) 인물이 추진한 정책으로 옳지 않은 것은?', 'choices': ['사창제를 실시하였다 .', '대전회통을 편찬하였다 .', '비변사의 기능을 강화하였다 .', '통상 수교 거부 정책을 추진하였다 .'], 'answer': 3}",,(가) 인물이 추진한 정책으로 옳지 않은 것은?,3,"['사창제를 실시하였다 .', '대전회통을 편찬하였다 .', '비변사의 기능을 강화하였다 .', '통상 수교 거부 정책을 추진하였다 .']",한국사
generation-for-nlp-431,"(가)의 사신 고제덕 등이 일본에 와서 왕이 보낸 국서를 전하였다. 그 국서에 이르기를 “나(대무 예)는 큰 나라를 맡아 여러 주변국을 다스렸으며, 고구려의 옛 땅을 회복하였고 부여의 풍속을 이었다.”라고 하였다.","{'question': '(가) 국가에 대한 설명으로 옳은 것은?', 'choices': ['나 당연합군의 공격으로 멸망하였다 .', '9주 5소경의 지방 행정 구역을 두었다 .', '중앙 행정 기구로 3성 6부를 설치하였다 .', '고구려의 수도였던 평양을 서경으로 삼았다 .'], 'answer': 3}",,(가) 국가에 대한 설명으로 옳은 것은?,3,"['나 당연합군의 공격으로 멸망하였다 .', '9주 5소경의 지방 행정 구역을 두었다 .', '중앙 행정 기구로 3성 6부를 설치하였다 .', '고구려의 수도였던 평양을 서경으로 삼았다 .']",한국사
generation-for-nlp-432,(가)신라의 한강 유역 확보 (나)관산성 전투(다) 백제의 웅진 천도 (라)고구려의 평양 천도,"{'question': '다음 사건을 시기 순으로 바르게 나열한 것은?', 'choices': ['(가)→(라)→(나)→(다)', '(나)→(다)→(가)→(라)', '(다)→(나)→(가)→(라)', '(라)→(다)→(가)→(나) '], 'answer': 4}",,다음 사건을 시기 순으로 바르게 나열한 것은?,4,"['(가)→(라)→(나)→(다)', '(나)→(다)→(가)→(라)', '(다)→(나)→(가)→(라)', '(라)→(다)→(가)→(나) ']",한국사
generation-for-nlp-434,(가) 황제가 영원히 가시던 길에 엎드려 크게 통곡하던 우리는 …(중략) … 우리민족의 새로운 기백과 책동이 발발하기를 간절히 기대하는 바이다.－동아일보 1926년 6월 12일－,"{'question': '(가) 재위 기간에 있었던 사실이 아닌 것은?', 'choices': ['일본은 동양척식 주식회사를 설립하였다.', '일본이 간도를 청에 귀속하는 협약을 체결하였다.', '유생의 병장 중심으로 13도 창의군을 결성하였다.', '대한제국의 외교권을 박탈하고 통감부를 설치하였다.'], 'answer': 1}",,(가) 재위 기간에 있었던 사실이 아닌 것은?,1,"['일본은 동양척식 주식회사를 설립하였다.', '일본이 간도를 청에 귀속하는 협약을 체결하였다.', '유생의 병장 중심으로 13도 창의군을 결성하였다.', '대한제국의 외교권을 박탈하고 통감부를 설치하였다.']",한국사
generation-for-nlp-436,"(가)은/는 의병계열과 애국계몽 운동 계열의 비밀결사가 모여 결성된 조직으로, 총사령 박상진을 중심으로 독립군 양성을 목적으로 하였다.","{'question': '(가)에 대한 설명으로 옳지 않은 것은?', 'choices': ['공화제 국가 수립을 지향하였다.', '군자금을 모집하고 친일파를 공격하였다.', '북간도에서 무장독립단체인 중광단을 조직하였다.', '경상도 일대에서 결성되어 전국 조직으로 확대하였다.'], 'answer': 3}",,(가)에 대한 설명으로 옳지 않은 것은?,3,"['공화제 국가 수립을 지향하였다.', '군자금을 모집하고 친일파를 공격하였다.', '북간도에서 무장독립단체인 중광단을 조직하였다.', '경상도 일대에서 결성되어 전국 조직으로 확대하였다.']",한국사
generation-for-nlp-439,"(가)가/이 귀산 등에게 말하기를 “세속에도 5계가 있으니, 첫째는 충성으로써 임금을 섬기는 것, 둘째는 효도로써 어버이를 섬기는 것, 셋째는 신의로써 벗을 사귀는 것, 넷째는 싸움에 임하여 물러서지 않는 것, 다섯째는 생명 있는 것을 죽이 되가려서 한다는 것이다. 그대들은 이를 실행함에 소홀하지 말라.”라고 하였다. －삼국사기－","{'question': '(가) 인물에 대한 설명으로 옳은 것은?', 'choices': ['모든 것이 한마음에서 나온다는 일심사상을 제시하였다.', '화엄사상을 연구하여 화엄일승법계도 를 작성하였다.', '왕에게 수나라에 군사를 청하는 글을 지어 바쳤다.', '인도를 여행하여 왕오천축국전을 썼다.'], 'answer': 3}",,(가) 인물에 대한 설명으로 옳은 것은?,3,"['모든 것이 한마음에서 나온다는 일심사상을 제시하였다.', '화엄사상을 연구하여 화엄일승법계도 를 작성하였다.', '왕에게 수나라에 군사를 청하는 글을 지어 바쳤다.', '인도를 여행하여 왕오천축국전을 썼다.']",한국사
generation-for-nlp-441,고종은 연호를 ‘광무’로 바꾸고 환구단을 세워 이곳에서 황제로 즉위하였으며 나라 이름을 (가)으로/로 선포하고 자주 독립 국가임을 알렸다.,"{'question': '(가) 시기에 있었던 사실로 옳은 것은?', 'choices': ['별 기군을 창설하였다 .', '교육입국조서를 발표하였다 .', '통리기무아문을 설치하였다 .', '지계 발급 사업을 추진하였다 .'], 'answer': 4}",,(가) 시기에 있었던 사실로 옳은 것은?,4,"['별 기군을 창설하였다 .', '교육입국조서를 발표하였다 .', '통리기무아문을 설치하였다 .', '지계 발급 사업을 추진하였다 .']",한국사
generation-for-nlp-443,"옛사람이 말하기를 나라는 멸망할 수 있으나 그 역사는 결코 없어질 수 없다고 했으니, 이는 나라가 형체라면 역사는 정신이 기 때문이다. 이 제 우리나라의 형체는 없어져 버렸지만, 정신은 살아남아야 할 것이 다.","{'question': '다음과 같이 주장한 인물에 대한 설명으로 옳은 것은?', 'choices': ['진단학회를 조직하고 진단학보를 발행하였다 .', '｢ 유교구 신론｣ 을 통해 유교의 개혁을 주장하였다 .', '여유당 전서 를 펴내고 조선학 운동을 전개하였다 .', '의열단의 기 본 정신을 제시한 ｢ 조선혁명 선언 ｣ 을 작성하였다 .'], 'answer': 2}",,다음과 같이 주장한 인물에 대한 설명으로 옳은 것은?,2,"['진단학회를 조직하고 진단학보를 발행하였다 .', '｢ 유교구 신론｣ 을 통해 유교의 개혁을 주장하였다 .', '여유당 전서 를 펴내고 조선학 운동을 전개하였다 .', '의열단의 기 본 정신을 제시한 ｢ 조선혁명 선언 ｣ 을 작성하였다 .']",한국사
